Var	CrID_1	CrID_2	CrID_3	CrID_3	CrID_4	CrID_4	CrID_5	CrID_6	CrID_7 
Irrig	0	1	0	1	0	1	1	1	0	
CNclass	3	2	3	2	2	2	2	2	6	
pRAW	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.400	0.500	
aInt	0.600	0.600	0.600	0.600	0.600	0.600	0.600	2.500	2.500	
Tlim	31.000	40.000	31.000	40.000	40.000	40.000	40.000	40.000	40.000	
Tcrit	27.000	32.000	27.000	32.000	32.000	32.000	35.000	35.000	35.000	
HI	0.450	0.450	0.450	0.450	0.950	0.450	0.400	0.650	0.850	
kyT	1.050	1.250	1.050	1.250	1.250	1.250	0.850	1.050	1.250	
ky1	0.200	0.400	0.200	0.400	0.400	0.400	0.200	0.400	0.400	
ky2	0.600	0.900	0.600	0.900	0.900	0.900	0.800	0.400	0.900	
ky3	0.750	1.500	0.750	1.500	1.500	1.500	1.000	1.100	1.500	
ky4	0.500	0.500	0.500	0.500	0.500	0.500	0.800	0.400	0.500	
RFt	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
maxSr	1.000	0.850	1.000	0.850	0.850	0.850	1.000	1.000	0.750	
